"Medallion","PickupTime","DropOffTime","Passengers","Distance","latlngList"
"6C837CE001AB76E2E95A3E362B5C74B8","2013-01-13 11:59:00","2013-01-13 00:08:00","1","1.56","40.767758,-73.9821527,40.779478,-73.97357099999999,40.7633876,-73.9828809,40.7802611,-73.97547399999999,40.7641748,-73.9847444,40.7642298,-73.9824469,"
"04A54E9D5FDF2449B9054968119CB2FB","2013-01-13 07:24:00","2013-01-13 07:37:00","1","4.33","40.6658775,-73.79598829999999,40.6622741,-73.80217010000001,40.6452499,-73.78056769999999,40.6664063,-73.785022,40.6446529,-73.7823326,40.6655852,-73.7849219,40.6461633,-73.78417089999999,40.6447796,-73.7971918,40.6617516,-73.8037303,40.645098,-73.7809678,40.6466193,-73.7811846,"
"789B8DC7F3CB06A645B0CDC24591B832","2013-01-13 02:35:00","2013-01-13 02:40:00","5","1.21","40.7508349,-74.0018906,40.7520251,-74.00475410000001,40.7525635,-74.0043732,40.7583454,-73.99643139999999,40.7583771,-73.9926784,40.758977,-73.9939413,40.7584248,-73.9926409,40.7576686,-73.9948679,"
"D409FE36415B23FDA006DA5D92E0D1E4","2013-01-13 04:22:00","2013-01-13 04:41:00","1","5.03","40.7704095,-73.9876293,40.7226286,-74.006314,40.7237517,-74.00590380000001,40.7762132,-73.9800114,40.7426106,-74.0079027,40.723561,-74.0076528,40.7420848,-74.00873229999999,40.7208147,-73.99763469999999,40.7258167,-74.0109518,40.77731310000001,-73.9826028,40.7423534,-74.0085718,40.7232339,-74.0027772,"
"FB3F9ACCEB8FF83584DC597A71C39130","2013-01-13 07:01:00","2013-01-13 07:06:00","1","2.67","40.7599072,-73.9587955,40.7586615,-73.9597004,40.7354336,-73.9751248,40.7388323,-73.9831597,40.75684649999999,-73.9634756,40.75918240000001,-73.9582643,40.7327111,-73.98759849999999,40.7596329,-73.95815449999999,40.7560558,-73.9615985,40.7386518,-73.9732499,40.7398254,-73.9728959,"
"2DA69B9659AF1B087A3BC7D5FEF3B2B7","2013-01-13 06:37:00","2013-01-13 06:38:00","4","0.0","40.7563626,-74.0033624,40.7563645,-74.00336690000002,"
"0A6716952AE1B7B1EB901776A8DB82C8","2013-01-13 11:14:00","2013-01-13 11:26:00","5","2.75",""
"56428DB534DA149445053B6D014D21BD","2013-01-13 03:30:00","2013-01-13 03:35:00","1","1.29","40.7336342,-73.99955109999999,40.7479978,-73.989415,40.747893,-73.9891689,40.7343204,-73.9997813,"
"A464409947749791C973AA66750DB237","2013-01-13 07:00:00","2013-01-13 07:16:00","1","7.61","40.6460887,-73.78063990000001,40.6598006,-73.7742154,40.6105491,-73.7436244,40.6630799,-73.7886346,40.63563,-73.74021429999999,40.6067044,-73.7501073,40.6307426,-73.7382851,40.661563,-73.7912529,40.6443601,-73.7821618,40.6464038,-73.78680849999999,"
"8B4AF621134ECD9AD69C2CD179BED806","2013-01-13 03:23:00","2013-01-13 03:35:00","1","4.02","40.7696398,-73.9483604,40.773338,-73.9550579,40.7702942,-73.94774819999999,40.7774992,-73.9520601,40.7373755,-73.9744824,40.7391612,-73.97997579999999,40.7369997,-73.97486049999999,40.7295587,-73.9869619,"
"0E5C91D3EEB96AB7E08EA3955EAC1CCC","2013-01-13 09:31:00","2013-01-13 09:42:00","1","2.69","40.7794651,-73.9880637,40.758376,-73.97100510000001,40.7771577,-73.9821965,40.7609254,-73.9691296,40.75863289999999,-73.9716201,40.7683147,-73.9822149,40.77955439999999,-73.9880168,40.7663149,-73.98188309999999,"
"5FAD00C3D55A3FD129B01F72A40F9DF6","2013-01-13 02:29:00","2013-01-13 02:49:00","1","3.36","40.7210091,-73.97470369999999,40.7200537,-73.9749384,40.7585032,-73.9928256,40.7407329,-73.9728753,40.7189793,-73.9750926,40.7480058,-73.9684686,40.7223203,-73.986252,40.7249444,-73.9843601,40.743083,-73.9723018,"
"824E7B72DA09B09C25AF8EAD2E6C88A4","2013-01-13 04:19:00","2013-01-13 04:38:00","1","9.71","40.74868439999999,-73.8961095,40.8419084,-73.9373475,40.7475578,-73.8847117,40.7507873,-73.8971968,40.8026582,-73.9325561,40.8417149,-73.9355771,40.8010791,-73.9294595,40.7671405,-73.9040717,40.8465213,-73.932074,40.798214,-73.92253339999999,40.8039437,-73.93234629999999,40.7687341,-73.90714419999999,40.8386632,-73.9332897,40.8423386,-73.9370301,40.7923223,-73.9242084,40.7468028,-73.89171619999999,40.7545383,-73.8988079,"
"11DF9373A46893FEA6B3C9BC6568745F","2013-01-13 11:19:00","2013-01-13 11:24:00","1","0.91","40.7387714,-73.98747159999999,40.73479469999999,-73.9907782,40.7298638,-73.9892272,40.7305773,-73.9924238,40.7295146,-73.98991960000001,40.7298615,-73.9907044,40.7365646,-73.989071,40.7298331,-73.9896972,"
"70C08457FAE672B525C2FFE0961345B8","2013-01-13 07:13:00","2013-01-13 07:18:00","1","1.49","40.7815248,-73.96039429999999,40.7766674,-73.95295209999999,40.77818,-73.956546,40.7794974,-73.95556839999999,40.7898108,-73.95434689999999,"
