"Medallion","PickupTime","DropOffTime","Passengers","Distance","latlngList"
"789B8DC7F3CB06A645B0CDC24591B832","2013-01-13 09:42:00","2013-01-13 09:54:00","1","2.89","40.7847283,-73.95809349999999,40.7826431,-73.95312419999999,40.7679231,-73.9857202,40.7683545,-73.9867439,40.7736069,-73.98157950000001,40.768646,-73.9698114,40.7724388,-73.978741,40.76921230000001,-73.9847724,"
"D409FE36415B23FDA006DA5D92E0D1E4","2013-01-13 09:46:00","2013-01-13 10:00:00","5","4.41","40.776868,-73.95540799999999,40.7628086,-73.965688,40.71882069999999,-73.97477479999999,40.7210969,-73.9745729,40.75918240000001,-73.9582643,40.7776219,-73.9571934,40.7244253,-73.9847341,40.7596329,-73.95815449999999,40.7223203,-73.986252,"
"698D99C5B24DCFEF8BF4481BA0C2E58A","2013-01-13 09:20:00","2013-01-13 09:25:00","2","1.31","40.77563689999999,-73.962623,40.7636463,-73.9776972,40.7593647,-73.97334409999999,40.7617884,-73.97908389999999,40.7616198,-73.9728561,40.7754754,-73.9605246,40.7750108,-73.9611049,"
"2DA69B9659AF1B087A3BC7D5FEF3B2B7","2013-01-13 11:58:00","2013-01-13 00:01:00","2","1.19","40.7663716,-73.95705149999999,40.7792891,-73.9550778,40.776876,-73.9493739,"
"8EC72749975B2F84C5C417058EF43A12","2013-01-13 09:42:00","2013-01-13 09:57:00","5","3.62","40.7604299,-73.9695,40.7970099,-73.9760317,40.7707774,-73.99467609999999,40.7971561,-73.975672,40.7713461,-73.9937273,40.7952668,-73.97321629999999,40.7609254,-73.9691296,40.7972769,-73.975625,40.798569,-73.9708199,"
"282DCAD1FE61D972E2F8F7BB6C8E3AC5","2013-01-13 00:03:00","2013-01-13 00:15:00","5","2.6","40.7620241,-73.97964569999999,40.7333175,-73.987285,40.73735689999999,-73.99687229999999,40.7617884,-73.97908389999999,"
"F6C8A264AAC6053C20C05A5A2F9646FD","2013-01-13 04:36:00","2013-01-13 04:40:00","5","1.19","40.7634309,-73.9926986,40.757289,-73.9781186,40.7621935,-73.99361259999999,40.7555659,-73.9793668,40.7637702,-73.9973775,"
"0E5C91D3EEB96AB7E08EA3955EAC1CCC","2013-01-13 11:07:00","2013-01-13 11:15:00","1","1.61","40.7834215,-73.95496229999999,40.7923656,-73.96418849999999,40.7953033,-73.97120989999999,40.7844366,-73.95421189999999,40.784061,-73.9564843,40.7968817,-73.9700618,40.7879037,-73.9536771,40.7885802,-73.9552791,"
"11DF9373A46893FEA6B3C9BC6568745F","2013-01-13 11:55:00","2013-01-13 11:59:00","1","1.33","40.7628157,-73.9714915,40.7552916,-73.9752688,40.7636538,-73.97346499999999,40.7463913,-73.9817686,40.7559938,-73.9769661,40.7458216,-73.9823478,40.7508261,-73.9785728,40.7642173,-73.9709553,40.7460959,-73.98300410000002,40.7546572,-73.9757053,40.7649102,-73.9725559,"
"10497D23BC2A8217C8583B06B906146D","2013-01-13 00:05:00","2013-01-13 00:10:00","1","1.61","40.7704095,-73.9876293,40.7730709,-73.9823225,40.7603459,-73.99497699999999,40.771572,-73.98226799999999,40.7741641,-73.9848426,"
"70C08457FAE672B525C2FFE0961345B8","2013-01-13 11:21:00","2013-01-13 11:28:00","1","2.21","40.74764,-73.9707273,40.7293657,-73.9859051,40.7287487,-73.98445219999999,40.74796509999999,-73.97054899999999,40.7526327,-73.9670898,"
"81EE52118846F231A6921B307C85D98E","2013-01-13 03:53:00","2013-01-13 03:59:00","1","1.71","40.73697,-74.0082505,40.7426106,-74.0079027,40.7385365,-74.00813029999999,40.7420848,-74.00873229999999,40.7564019,-73.9978172,40.7369627,-74.0098429,40.7423534,-74.0085718,"
"822FD04E2877C11A22383ABF0B800531","2013-01-13 07:33:00","2013-01-13 07:45:00","1","7.2","40.766529,-73.9509769,40.8461874,-73.9317336,40.8422613,-73.9440758,40.7973135,-73.9293046,40.7652837,-73.95209,40.8467703,-73.94307719999999,40.8409665,-73.9444951,40.7653115,-73.9522305,40.8470416,-73.9431018,40.8407475,-73.940144,40.8469664,-73.9336162,40.7667446,-73.95073110000001,40.8392617,-73.9412526,"
"095634913A7AF53EF36D96132EB841D1","2013-01-13 11:25:00","2013-01-13 11:28:00","1","0.07","40.7581814,-73.98909549999999,40.7555094,-73.9796604,40.757289,-73.9781186,40.761038,-73.98701500000001,40.7554301,-73.9794671,"
"F051BFCF7C2F3D875B396377FF865E7C","2013-01-13 11:52:00","2013-01-13 11:59:00","1","1.04","40.767758,-73.9821527,40.7778523,-73.9819586,40.7659926,-73.9832299,40.7654858,-73.9820275,40.7647595,-73.9822513,40.7791748,-73.9812221,40.765418,-73.983822,"
"72427BE07CFC31814826BCE9EB92D8D5","2013-01-13 00:34:00","2013-01-13 00:44:00","5","2.43","40.74764,-73.9707273,40.7563248,-73.97671989999999,40.7559938,-73.9769661,40.7349085,-73.97968689999999,40.7514865,-73.967891,40.7515783,-73.9678514,40.7350013,-73.9798909,"
"3541D0677EEEA07B67E645E12F04F517","2013-01-13 11:13:00","2013-01-13 11:26:00","1","2.24","40.7725777,-73.9556185,40.773338,-73.9550579,40.7678871,-73.9559367,40.772344,-73.95268209999999,"
"0A63FC93E7E6AFB219214DA3AACA3762","2013-01-13 00:04:00","2013-01-13 00:11:00","5","1.47","40.7368739,-74.0055605,40.749545,-74.0066488,40.7409804,-74.00546229999999,40.7481923,-74.00763549999999,40.7428443,-74.0088321,40.7346958,-74.0047897,40.7516667,-74.0050235,"
"9383E6D0EB4524BBC576072BFBE2E053","2013-01-13 09:34:00","2013-01-13 09:50:00","1","4.0","40.767758,-73.9821527,40.76821470000001,-73.98428849999999,40.8022982,-73.953109,40.8003536,-73.95824780000001,40.799482,-73.9553698,40.7674137,-73.9823909,"
"A47AD2D8C7273EEF99AE063BE87B46A1","2013-01-13 09:46:00","2013-01-13 09:54:00","5","2.55","40.7548529,-73.9841244,40.7662963,-73.96943809999999,40.7412638,-73.9939904,40.7528167,-73.9792939,"
"3FD2ED96A813F4718463667C79BFA60D","2013-01-13 02:50:00","2013-01-13 02:53:00","1","0.56","40.7400071,-73.98642439999999,40.7347117,-73.9882373,40.737027,-73.9865473,40.7376944,-73.9881022,"
"7EDDE36FA99A988397F723511A6065F6","2013-01-13 02:33:00","2013-01-13 02:50:00","5","4.72","40.71854340000001,-73.9879492,40.77624,-73.95587309999999,40.7186141,-73.98818680000001,40.7221536,-73.9863539,40.7628086,-73.965688,40.71882069999999,-73.97477479999999,40.7210969,-73.9745729,40.75918240000001,-73.9582643,40.7596329,-73.95815449999999,"
"1E4422E1D46FF8824C0B9138B8657058","2013-01-13 09:53:00","2013-01-13 09:56:00","2","0.86","40.756965,-73.9871078,40.7602903,-73.97553669999999,40.7566969,-73.9864836,40.7629724,-73.9819048,"
"AAF7BAA49A7C63124C4C679662893891","2013-01-13 09:52:00","2013-01-13 09:56:00","1","1.91","40.8038199,-73.9459772,40.80322839999999,-73.94459669999999,40.7818257,-73.9601892,40.8042651,-73.945877,"
"57A2D6205E5ED627985B670BCFB2A7DC","2013-01-13 00:10:00","2013-01-13 00:15:00","1","1.23","40.7371246,-73.9928159,40.7314123,-73.99698479999999,40.729952,-73.997367,40.7310465,-73.9996201,40.7264524,-74.000342,40.7322213,-73.9986277,40.72699859999999,-73.9998762,"
"5B12A0C50955E1C67E9B3169D04B66AA","2013-01-19 14:49:51","2013-01-19 15:02:17","1","1.6",""
"7AF1650A61E99C328993969DDEEB639A","2013-01-13 10:55:00","2013-01-13 10:57:00","2","0.49","40.747893,-73.9891689,40.7457606,-73.99071239999999,40.74902,-73.9918158,"
"33C5CA859B7EB35E11E63A777670DBEB","2013-01-13 00:05:00","2013-01-13 00:11:00","3","1.65",""
