"Medallion","PickupTime","DropOffTime","Passengers","Distance","latlngList"
"8DC84A098D15C57FE44EE63F338EA5D6","2013-01-13 08:27:00","2013-01-13 08:29:00","1","0.4","40.7902516,-73.9731722,40.7908282,-73.9726072,40.790319,-73.9694077,40.7920418,-73.9774039,40.7915112,-73.972267,40.789674,-73.96985,"
"282DCAD1FE61D972E2F8F7BB6C8E3AC5","2013-01-13 10:09:00","2013-01-13 10:15:00","5","1.31","40.7824769,-73.9825717,40.7865014,-73.9722177,40.7894809,-73.96998959999999,40.7888937,-73.9778589,"
"0E5C91D3EEB96AB7E08EA3955EAC1CCC","2013-01-13 08:24:00","2013-01-13 08:35:00","1","3.17","40.7802053,-73.9441614,40.778877,-73.9433621,40.7844831,-73.9497435,40.7851928,-73.94934169999999,40.7829278,-73.9441212,40.7530226,-73.9638796,40.7606723,-73.98421739999999,40.78451159999999,-73.9498121,40.7525065,-73.9648627,"
"8A9167F9028DAD6758688CC9D0B47061","2013-01-13 09:54:00","2013-01-13 10:08:00","5","4.95","40.7762565,-73.950012,40.7761874,-73.94985199999999,40.7221536,-73.9863539,40.71882069999999,-73.97477479999999,40.7210969,-73.9745729,40.75918240000001,-73.9582643,40.71835979999999,-73.9883124,40.7596329,-73.95815449999999,40.7608662,-73.9610606,"
"4B9947148B02C27D21ECD7E3A94C9F60","2013-01-13 00:30:00","2013-01-13 00:39:00","1","2.58","40.7494912,-73.9754028,40.7463913,-73.9817686,40.7388695,-73.9872553,40.7508261,-73.9785728,40.7388193,-73.9871338,40.7676499,-73.9621356,"
"5FAD00C3D55A3FD129B01F72A40F9DF6","2013-01-13 00:14:00","2013-01-13 00:21:00","1","1.37","40.7692856,-73.9810485,40.7717916,-73.9792078,40.7696878,-73.9820028,40.7649339,-73.96489009999999,40.7684746,-73.9818482,40.768023,-73.9702744,40.767394,-73.97072539999999,"
"11DF9373A46893FEA6B3C9BC6568745F","2013-01-13 00:13:00","2013-01-13 00:17:00","1","0.75","40.7662476,-73.9602479,40.7727006,-73.9556532,40.7726606,-73.95555809999999,40.7655404,-73.95856409999999,"
"70C08457FAE672B525C2FFE0961345B8","2013-01-13 13:20:00","2013-01-13 13:32:00","1","1.6","40.7231324,-74.00622229999999,40.7185304,-73.9967307,40.7339987,-74.0045951,40.7265561,-74.0056453,40.719024,-73.9964966,40.7337243,-74.00632159999999,40.732328,-74.0036367,40.7330953,-74.0064187,40.724414,-74.0059459,40.7295661,-74.00512049999999,"
"81EE52118846F231A6921B307C85D98E","2013-01-13 00:10:00","2013-01-13 00:13:00","1","0.47","40.7539779,-73.9780322,40.7568264,-73.984774,"
"822FD04E2877C11A22383ABF0B800531","2013-01-13 11:56:00","2013-01-13 00:20:00","1","6.55","40.7280616,-74.007204,40.7548529,-73.9841244,40.7276757,-74.00314879999999,40.7808861,-73.9548234,40.7264536,-74.00581559999999,40.7266087,-74.0074515,40.7528167,-73.9792939,40.782169,-73.9578596,"
"095634913A7AF53EF36D96132EB841D1","2013-01-13 00:40:00","2013-01-13 00:44:00","1","0.11","40.7501117,-73.9749783,40.7390464,-73.9829882,40.7484752,-73.971098,"
"72427BE07CFC31814826BCE9EB92D8D5","2013-01-13 11:47:00","2013-01-13 11:56:00","5","1.48","40.7355931,-73.9794713,40.7365839,-73.9818317,40.73479469999999,-73.9907782,40.7352987,-73.9796762,40.7323264,-73.9849539,40.7280548,-73.9952579,40.727835,-73.9947559,"
"0A63FC93E7E6AFB219214DA3AACA3762","2013-01-13 11:26:00","2013-01-13 11:32:00","4","0.68","40.7523203,-73.9859651,40.7510839,-73.98684999999999,40.7534012,-73.98886759999999,40.7486376,-73.9803239,40.7496405,-73.9796028,40.7522877,-73.98970589999999,"
"9383E6D0EB4524BBC576072BFBE2E053","2013-01-13 00:03:00","2013-01-13 00:11:00","1","1.75","40.7443271,-73.9917567,40.7639798,-73.98428439999999,40.7617884,-73.97908389999999,"
"A47AD2D8C7273EEF99AE063BE87B46A1","2013-01-13 00:09:00","2013-01-13 00:15:00","6","0.8","40.7573414,-73.9860032,40.7588625,-73.9895995,40.7501396,-73.9912418,"
"27135B04F7ED619F788D551CBD01028C","2013-01-13 10:01:00","2013-01-13 10:04:00","1","0.55","40.7457672,-73.98221889999999,40.7389235,-73.9851656,40.7451095,-73.9806792,40.7451899,-73.98263949999999,"
"7EDDE36FA99A988397F723511A6065F6","2013-01-13 04:36:00","2013-01-13 04:42:00","5","1.68","40.7508949,-73.9907036,40.7529921,-73.96987969999999,40.756132,-73.967607,40.759211,-73.984638,40.75679940000001,-73.9692008,"
"1E4422E1D46FF8824C0B9138B8657058","2013-01-13 11:29:00","2013-01-13 11:32:00","2","0.94","40.7597432,-73.974223,40.7623476,-73.982354,40.7509311,-73.9864882,40.761532,-73.98039469999999,40.7629724,-73.9819048,40.7490499,-73.982024,"
"9AAAA2F956089FE51E971AC4941548CB","2013-01-13 00:30:00","2013-01-13 00:47:00","1","2.47","40.729708,-73.99041919999999,40.720628,-74.0052098,40.72983,-73.9914232,40.7098258,-74.00996959999999,40.710383,-74.01117959999999,40.7268909,-73.9999728,40.7184033,-74.0052232,40.7250371,-73.99536069999999,40.7077266,-74.0078346,"
"AAF7BAA49A7C63124C4C679662893891","2013-01-13 11:56:00","2013-01-13 00:03:00","1","1.98","40.74764,-73.9707273,40.7507482,-73.9684245,40.7544941,-73.9772562,40.7345509,-73.9802265,"
"67651B7D17DF408749E8475B12A22EB8","2013-01-13 11:26:00","2013-01-13 11:32:00","1","1.08","40.73837,-73.98555329999999,40.747893,-73.9891689,40.7416056,-73.9937434,40.73820569999999,-73.9856676,40.74812439999999,-73.9897124,"
"1A6239D3039EA4571E4FBE02B24042FC","2013-01-13 00:08:00","2013-01-13 00:19:00","6","3.75","40.7970099,-73.9760317,40.7953655,-73.9731348,40.7971561,-73.975672,40.7655967,-73.9978075,40.7952668,-73.97321629999999,40.76113120000001,-73.9872367,40.7972769,-73.975625,"
"86A19BDB2054A5DC34ADC453DA36DFD3","2013-01-13 11:24:00","2013-01-13 11:28:00","1","0.71","40.7284285,-73.9942583,40.734176,-73.9886279,40.73479469999999,-73.9907782,40.7339498,-73.988793,40.728308,-73.9907223,40.7274105,-73.98861289999999,40.7271256,-73.9916164,"
"E9E4605C9790B5891207F0D87A973B33","2013-01-13 00:39:00","2013-01-13 00:47:00","5","2.39","40.7655438,-73.9403075,40.7612161,-73.9305078,40.7639001,-73.92796240000001,40.7471401,-73.9526238,"
"33C5CA859B7EB35E11E63A777670DBEB","2013-01-13 11:51:00","2013-01-13 11:54:00","2","1.42",""
"AB4CE77E2C4994681AC037E63182BE56","2013-01-13 11:24:00","2013-01-13 11:31:00","1","1.52","40.7261835,-73.99855579999999,40.7283726,-74.002828,40.7398526,-73.9950216,40.7261154,-73.9984198,"
"D2B347756DA9B4B8A284E45499A3538B","2013-01-13 11:54:00","2013-01-13 00:14:00","1","4.4","40.7970099,-73.9760317,40.7608476,-73.9983225,40.7971561,-73.975672,40.7952668,-73.97321629999999,40.7972769,-73.975625,40.7583062,-74.0001564,40.76208440000001,-74.0013329,40.7971227,-73.9716124,40.7535154,-73.98878289999999,40.7505826,-73.9909232,40.7972062,-73.97180999999999,"
"C04E9C22F82CD547A00D76CD57F8A3BC","2013-01-13 00:29:00","2013-01-13 00:47:00","1","2.48","40.7256519,-74.00547300000001,40.7340256,-73.9950724,40.7265561,-74.0056453,40.7621526,-73.97456059999999,40.7256762,-74.0057361,40.7365117,-74.0011067,40.7295661,-74.00512049999999,"
"3C91D87EA60B8770E5DD4417FB49940A","2013-01-13 11:30:00","2013-01-13 11:37:00","1","1.56","40.74711569999999,-73.9814401,40.7495521,-73.9872078,40.75968049999999,-73.9701989,40.7602823,-73.971599,"
"FCD0EEBF13F6FEADE22E0B3133928C4A","2013-01-13 08:19:00","2013-01-13 08:28:00","2","1.87","40.7340364,-73.9866489,40.7234338,-74.00385059999999,40.73479469999999,-73.9907782,40.7217896,-73.9998669,40.7332802,-73.98719609999999,40.7222679,-74.00535359999999,40.7232339,-74.0027772,40.7222236,-74.0053714,"
